('Net Interest Income', '-211,000', '-215,000', '89,000', '76,000', '-2,733,000')
         527744 function calls (508845 primitive calls) in 1.498 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 client.py:1210(_validate_host)
        4    0.000    0.000    0.000    0.000 client.py:1218(putheader)
        1    0.000    0.000    0.000    0.000 client.py:1246(endheaders)
        1    0.000    0.000    0.000    0.000 client.py:1259(request)
        1    0.000    0.000    0.000    0.000 client.py:1264(_send_request)
        3    0.000    0.000    0.000    0.000 client.py:1266(<genexpr>)
        1    0.000    0.000    0.652    0.652 client.py:1310(getresponse)
        1    0.000    0.000    0.000    0.000 client.py:1378(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1436(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1441(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1444(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1447(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1452(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1455(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1458(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1473(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1476(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1479(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1482(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1485(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1492(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1497(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:173(HTTPMessage)
        1    0.000    0.000    0.001    0.001 client.py:203(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:227(HTTPResponse)
        1    0.000    0.000    0.000    0.000 client.py:236(__init__)
        1    0.000    0.000    0.651    0.651 client.py:266(_read_status)
        1    0.000    0.000    0.652    0.652 client.py:299(begin)
        1    0.000    0.000    0.000    0.000 client.py:379(_check_close)
        1    0.000    0.000    0.000    0.000 client.py:408(_close_conn)
        1    0.000    0.000    0.000    0.000 client.py:413(close)
        1    0.000    0.000    0.000    0.000 client.py:425(flush)
        2    0.000    0.000    0.000    0.000 client.py:436(isclosed)
